OP section;Wavelength (nm);"FoV_Y ("")";"FoV_X ("")";FoV Comment;"required d ("")";""" Comment";SIS Instrument;SIS COMMENT;N;N Comment;R;R Comment;BP (nm);BP Comment;SNR;SNR Comment;Cadence (s);Cadence Comment;tint (s);tint (s) Comment;T continuum;T continuum comment;T core;T core comment;REQ?;Duration of observation (h);Polarimetry
1.2.1;430;20.0;20;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;1;False
1.2.1;517;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.0125;;0.1784;;True;1 (repeated);True
1.2.1;525;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.0116;;0.0596;;True;1 (repeated);True
1.2.1;630;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.0095;;0.0346;;True;1 (repeated);True
1.2.1;656;20.0;20;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;1;;;N/A;;N/A;False;1;False
1.2.1;854;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.0089;;0.0435;;True;1 (repeated);True
1.2.1;1082;7.0;7;Goal 15x15, with tiles;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.008;;0.027;;False;1 (repeated);True
1.2.1;1083;7.0;7;Goal 15x15, with tiles;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.008;;0.027;;False;1 (repeated);True
1.2.1;1565;7.0;7;Goal 15x15, with tiles;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;15;;3;;0.01;;0.014;;True;1 (repeated);True
1.3.1;388;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;;SRD says not crucial, to be checked;;Not Mentioned, please provide;;N/A;;N/A;False;Not mentioned;False
1.3.1;396;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.0029;;0.0906;;False;Not mentioned;True
1.3.1;396;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;;SRD says not crucial, to be checked;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
1.3.1;430;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;;SRD says not crucial, to be checked;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
1.3.1;517;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;;SRD says not crucial, to be checked;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
1.3.1;630;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.0009;;0.0031;;True;Not mentioned;True
1.3.1;854;5.0;5;;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.0008;;0.0039;;True;Not mentioned;True
1.3.1;1082;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.001;;0.002;;False;Not mentioned;True
1.3.1;1083;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.001;;0.002;;False;Not mentioned;True
1.3.1;1565;5.0;5;;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;Goal 3000;;SRD says not crucial, to be checked;3;;0.001;;0.001;;True;Not mentioned;True
1.3.2;388;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;up to 1;False
1.3.2;396;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;up to 1;False
1.3.2;430;40.0;40;;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;up to 1;False
1.3.2;517;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;20;chromospheric line;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;0.5;Not mentioned, estimated from N and cadence;0.028;;0.3993;;True;up to 1;True
1.3.2;525;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.013;;0.0667;;True;up to 1;True
1.3.2;617;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;1;Not mentioned, estimated from N and cadence;0.0108;;0.0416;;True;up to 1;True
1.3.2;656;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;20;chromospheric line;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;10;Goal 5s;0.5;Not mentioned, estimated from N and cadence;0.0221;;0.1267;;False;up to 1;True
1.4.1;388;40.0;40;Goal 60x60, Same FoV as TIS;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;3 to 4 hour;False
1.4.1;396;40.0;40;Goal 60x60, Same FoV as TIS;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;3 to 4 hour;False
1.4.1;430;40.0;40;Goal 60x60, Same FoV as TIS;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;3 to 4 hour;False
1.4.1;517;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;20;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;15;;1;;0.2241;;3.1947;;True;3 to 4 hour;True
1.4.1;630;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;15;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;15;;1;;0.1701;;0.6192;;True;3 to 4 hour;True
1.4.1;656;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;20;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;15;;1;;0.1768;;1.0135;;True;3 to 4 hour;True
1.4.1;854;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;TIS;;20;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;15;;1;;0.0865;;0.421;;True;3 to 4 hour;True
1.4.1;1565;40.0;40;Goal 60x60, FOV should cover at least a supergranule;-1.0;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;15;;1;;0.176;;0.2486;;True;3 to 4 hour;True
1.4.2;388;40.0;40;;-1.0;;FBI;Ca ii K instead of H to allow IFU to observe Ca ii H;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.4.2;396;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.0096;;0.302;;False;1;True
1.4.2;430;40.0;40;;-1.0;;FBI;Ca ii K instead of H to allow IFU to observe Ca ii H;;N/A;;N/A;;TBD, please provide;100;at least;5;;;Not Mentioned, please provide;;N/A;;N/A;False;1;False
1.4.2;517;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.0038;;0.0535;;True;1;True
1.4.2;525;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.0035;;0.0179;;True;1;True
1.4.2;630;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.0028;;0.0104;;True;1;True
1.4.2;656;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.003;;0.017;;False;1;True
1.4.2;854;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.0027;;0.013;;True;1;True
1.4.2;1082;7.0;7;Goal 15x15, with tiles;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.003;;0.008;;False;1;True
1.4.2;1083;7.0;7;Goal 15x15, with tiles;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.003;;0.008;;False;1;True
1.4.2;1565;7.0;7;Goal 15x15, with tiles;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 30;10;;0.003;;0.004;;True;1;True
1.5.1;396;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.0096;;0.302;;True;1 (repeated);True
1.5.1;492;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.0039;;0.0485;;True;1 (repeated);True
1.5.1;517;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.0038;;0.0535;;True;1 (repeated);True
1.5.1;630;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.0028;;0.0104;;True;1 (repeated);True
1.5.1;656;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.003;;0.017;;False;1 (repeated);True
1.5.1;854;7.0;7;Goal 15x15, with tiles;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.0027;;0.013;;True;1 (repeated);True
1.5.1;1565;7.0;7;Goal 15x15, with tiles;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;Goal 3000;40;Goal 15;10;;0.003;;0.004;;True;1 (repeated);True
1.6.1;461;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.0103;;0.082;;True;1 to 2;True
1.6.1;517;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.0135;;0.1926;;True;1 to 2;True
1.6.1;525;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.0126;;0.0643;;True;1 to 2;True
1.6.1;630;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.0103;;0.0373;;True;1 to 2;True
1.6.1;854;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.0096;;0.0469;;True;1 to 2;True
1.6.1;1565;40.0;40;Goal 60x60, IFS allows to reconstruct tiles;0.1;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;10000;;;SRD says not crucial, to be checked;25;;0.011;;0.015;;True;1 to 2;True
1.6.2;388;40.0;40;Goal 70x70, should cover a supergranuñe;-1.0;;FBI;Ca ii K to allow filtergraphs to observe Ca ii H;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;2;False
1.6.2;396;40.0;40;Goal 70x70, should cover a supergranuñe;-1.0;;FBI;Ca ii K to allow filtergraphs to observe Ca ii H;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;2;False
1.6.2;396;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.0029;;0.0906;;False;2;True
1.6.2;517;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;20;for chromospheric lines;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.0011;;0.0161;;True;2;True
1.6.2;525;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.001;;0.0054;;True;2;True
1.6.2;630;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.0009;;0.0031;;True;2;True
1.6.2;656;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;10;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.0009;;0.0051;;True;2;True
1.6.2;854;40.0;40;Goal 70x70, should cover a supergranuñe;0.1;;TIS;;20;for chromospheric lines;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;2000;;30;;3;;0.0008;;0.0039;;True;2;True
1.6.2;1083;40.0;40;Goal 70x70;0.1;;IFS-S;Was a TIS;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;30;;3;;0.003;;0.01;;False;2;True
1.6.2;1565;40.0;40;Goal 70x70;0.1;;IFS-S;Was a TIS;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;30;;3;;0.004;;0.005;;True;2;True
1.7.1;388;40.0;40;Goal 60x60;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.7.1;396;40.0;40;Goal 60x60;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;1;False
1.7.1;396;7.0;7;;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.016;;0.5034;;False;1;True
1.7.1;430;40.0;40;Goal 60x60;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;1;False
1.7.1;517;7.0;7;;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.0063;;0.0892;;True;1;True
1.7.1;525;7.0;7;;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.0058;;0.0298;;True;1;True
1.7.1;630;7.0;7;;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.0047;;0.0173;;True;1;True
1.7.1;656;40.0;40;Goal 60x60;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;1;False
1.7.1;854;7.0;7;;0.06;;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.0045;;0.0217;;True;1;True
1.7.1;1082;7.0;7;;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.004;;0.014;;False;1;True
1.7.1;1083;7.0;7;;0.06;;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.004;;0.014;;False;1;True
1.7.1;1565;7.0;7;;-1.0;0.06 is DL for the target line;IFS-S;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;2000;;25;;6;;0.005;;0.007;;True;1;True
1.7.2;388;40.0;40;Goal 80x80, should cover at least a supergranule;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;2;False
1.7.2;396;40.0;40;Goal 80x80, should cover at least a supergranule;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;True;2;False
1.7.2;396;40.0;40;Goal 80x80, should cover at least a supergranule;0.05;;TIS;;15;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0043;;0.1359;;False;2;True
1.7.2;430;40.0;40;Goal 80x80, should cover at least a supergranule;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;Goal is 1s;;Not Mentioned, please provide;;N/A;;N/A;False;2;False
1.7.2;517;40.0;40;Goal 80x80, should cover at least a supergranule;0.05;;TIS;;20;for chromospheric lines;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0017;;0.0241;;True;2;True
1.7.2;525;40.0;40;Goal 80x80, should cover at least a supergranule;0.05;;TIS;;20;for chromospheric lines;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0016;;0.008;;False;2;True
1.7.2;630;40.0;40;Goal 80x80, should cover at least a supergranule;0.05;;TIS;;15;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0013;;0.0047;;True;2;True
1.7.2;656;40.0;40;Goal 80x80, should cover at least a supergranule;0.05;;TIS;;15;;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0013;;0.0076;;False;2;True
1.7.2;854;40.0;40;Goal 80x80, should cover at least a supergranule;-1.0;0.05 is DL at the requested wavelength;TIS;;20;for chromospheric lines;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;1000;;30;;2;;0.0012;;0.0059;;True;2;True
1.7.2;1565;40.0;40;Goal 80x80, should cover at least a supergranule;-1.0;;IFS-S;Was a TIS;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;1000;;30;;2;;0.022;;0.031;;True;2;True
1.8.1;396;5.0;5;;0.1;0.05;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0.0007;;0.0227;;False;Not mentioned;True
1.8.1;388;60.0;60;Goal 120x120;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;;;Not Mentioned, please provide;;N/A;;N/A;False;Not mentioned;False
1.8.1;396;60.0;60;Goal 120x120;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
1.8.1;430;60.0;60;Goal 120x120;-1.0;;FBI;;;N/A;;N/A;;TBD, please provide;100;at least;5;;;Not Mentioned, please provide;;N/A;;N/A;True;Not mentioned;False
1.8.1;517;5.0;5;;0.1;0.05;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0.0003;;0.004;;True;Not mentioned;True
1.8.1;525;5.0;5;;0.1;0.05;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0.0003;;0.0013;;True;Not mentioned;True
1.8.1;630;5.0;5;;0.1;0.05;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0.0002;;0.0008;;True;Not mentioned;True
1.8.1;630;60.0;60;Goal 120x120;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;Goal 10s;3;Not mentioned, estimated from N and cadence;0.0035;;0.0129;;True;Not mentioned;True
1.8.1;709;60.0;60;Goal 120x120;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;Goal 10s;3;Not mentioned, estimated from N and cadence;0.0017;;0.0037;;True;Not mentioned;True
1.8.1;854;5.0;5;;0.1;0.05;IFS-M;;;Depends on BP should be known;200000;Not mentioned in SRD, New SAG proposal adopted;;Not mentioned, Please provide;500;Goal 1000;30;Goal 10;3;;0.0002;;0.001;;True;Not mentioned;True
1.8.1;854;60.0;60;Goal 120x120;-1.0;;TIS;;10;Goal 31;50000;Not mentioned in SRD, min req value adopted;;Not mentioned, Please provide;500;;30;Goal 10s;3;Not mentioned, estimated from N and cadence;0.0018;;0.0088;;True;Not mentioned;True
